"Fecha";"Tmax"
2014-12-15;15.5
2014-12-16;11.2
2014-12-17;14.7
2014-12-18;16.9
2014-12-19;19.3
2014-12-20;18.8
2014-12-21;16.9
2014-12-22;16.6
2014-12-23;18
2014-12-24;17.8
2014-12-25;15.8
2014-12-26;17.1
2014-12-27;13.4
2014-12-28;8.9
2014-12-29;11.1
2014-12-30;12.6
2014-12-31;15.1
2015-01-01;16.1
2015-01-02;15.8
2015-01-03;18
2015-01-04;19.2
2015-01-05;16
2015-01-06;12.6
2015-01-07;15.9
2015-01-08;16.8
2015-01-09;19.9
2015-01-10;20.8
2015-01-11;19.6
2015-01-12;19.6
2015-01-13;20.1
2015-01-14;18.9
2015-01-15;16.1
2015-01-16;13.2
2015-01-17;12.1
2015-01-18;6.9
2015-01-19;12.6
2015-01-20;7.7
2015-01-21;8.7
2015-01-22;13
2015-01-23;14.7
2015-01-24;14.1
2015-01-25;18.1
2015-01-26;18.8
2015-01-27;19
2015-01-28;18.4
2015-01-29;13.5
2015-01-30;17.5
2015-01-31;14.9
2015-02-01;12.9
2015-02-02;9.8
2015-02-03;12.8
2015-02-04;11
2015-02-05;11.8
2015-02-06;11.9
2015-02-07;10.1
2015-02-08;13.2
2015-02-09;17
2015-02-10;16.1
2015-02-11;17.7
2015-02-12;17.3
2015-02-13;16.6
2015-02-14;16.8
2015-02-15;13.7
2015-02-16;11.6
2015-02-17;15.6
2015-02-18;17.3
2015-02-19;17.6
2015-02-20;19.2
2015-02-21;13.6
2015-02-22;16.7
2015-02-23;17.2
2015-02-24;15.3
2015-02-25;17.2
2015-02-26;18.1
2015-02-27;19
2015-02-28;20.4
2015-03-01;20.3
2015-03-02;23.5
2015-03-03;24.4
2015-03-04;23.5
2015-03-05;18.5
2015-03-06;23.2
2015-03-07;24.6
2015-03-08;27
2015-03-09;26.1
2015-03-10;27
2015-03-11;27.4
2015-03-12;25.2
2015-03-13;21.1
2015-03-14;20.6763162519041
2015-03-15;20.3245201299366
2015-03-16;19.9
2015-03-17;19.3
2015-03-18;15.8
2015-03-19;18.8
2015-03-20;20.4
2015-03-21;15.5
2015-03-22;16.05
2015-03-23;16.6
2015-03-24;11.9
2015-03-25;15.1
2015-03-26;19.8
2015-03-27;24.5
2015-03-28;28.1
2015-03-29;28
2015-03-30;29.7
2015-03-31;29.7702730575332
2015-04-01;29.8359882318946
2015-04-02;29.9
2015-04-03;29.459653915291
2015-04-04;28.31631497343
2015-04-05;26.7469750651172
2015-04-06;24.9
2015-04-07;22
2015-04-08;17.1
2015-04-09;20.8
2015-04-10;18.6
2015-04-11;16.4
2015-04-12;24.1
2015-04-13;27.8483033904455
2015-04-14;30.1
2015-04-15;21.9
2015-04-16;20
2015-04-17;24.7
2015-04-18;23.1
2015-04-19;23.5
2015-04-20;27.5
2015-04-21;26.9
2015-04-22;25.1
2015-04-23;28.5
2015-04-24;23.9
2015-04-25;19.8
2015-04-26;19.9
2015-04-27;20.5
2015-04-28;25
2015-04-29;26
2015-04-30;28.2
2015-05-01;30
2015-05-02;33.3
2015-05-03;31
2015-05-04;28.5
2015-05-05;25.5
2015-05-06;29.1
2015-05-07;33.3
2015-05-08;28
2015-05-09;34.2
2015-05-10;36.2
2015-05-11;36.4
2015-05-12;37.9
2015-05-13;40.1
2015-05-14;38.8
2015-05-15;33.2
2015-05-16;33.4
2015-05-17;35.4
2015-05-18;33.2
2015-05-19;30.6
2015-05-20;30
